id,type,insight_id,enable,name,display_name,created_at,updated_at
35418008,CustomEvent,3840,1,trackTapKeepListJobDetailAnchor,【タップ】求人詳細（【画面】キープリスト）,2017-09-05T10:44:16.091293,2018-01-16T02:32:31.417891
37131621,CustomEvent,3840,1,trackTapKeepListKeepReleaseButton,【タップ】キープ解除（【画面】キープリスト）,2018-10-29T04:58:44.920379,2018-10-29T06:14:24.553962
37128705,CustomEvent,3840,1,trackTapKeepReleaseButton,【タップ】キープ解除する,2018-10-26T05:31:49.032404,2018-10-29T06:14:24.565620
37129903,CustomEvent,3840,1,trackTapLineStationSearchFormSetupButton,【タップ】設定（【画面】沿線・駅選択）,2018-10-27T08:26:49.398390,2018-10-29T06:14:24.577343
37239502,CustomEvent,3840,1,trackTapLogin,trackTapLogin,2019-02-01T02:01:36.107116,2019-02-01T02:01:36.107116
35574340,CustomEvent,3840,1,trackTapLpAdsTopNewlyJobDetailAnchor,trackTapLpAdsTopNewlyJobDetailAnchor,2018-08-24T22:59:36.987571,2018-08-24T22:59:36.987571
35418049,CustomEvent,3840,1,trackTapMap,【タップ】周辺地図検索,2017-09-05T11:22:02.937497,2018-01-16T02:32:31.417891
37128729,CustomEvent,3840,1,trackTapMapSearchJobButton,【タップ】求人（【画面】地図検索画面）,2018-10-26T05:59:24.404442,2018-10-29T06:14:24.590540
37128730,CustomEvent,3840,1,trackTapMapSearchSearchButton,【タップ】周辺を検索（【画面】地図検索画面）,2018-10-26T05:59:24.414984,2018-10-29T06:39:40.824845
37128728,CustomEvent,3840,1,trackTapMapSearchShopButton,【タップ】店舗を表示（【画面】地図検索画面）,2018-10-26T05:59:24.387024,2018-10-29T06:39:40.839692
37131789,CustomEvent,3840,1,trackTapPopularAreaSearchFormSetupButton,【タップ】設定（【画面】人気のエリア）,2018-10-29T08:29:32.996431,2018-10-30T01:12:25.720390
37128994,CustomEvent,3840,1,trackTapPrefectureBusinessTypeSearchFormSearchButton,【タップ】設定する（【画面】都道府県と業種を選択),2018-10-26T10:38:10.523176,2018-10-29T06:39:40.852248
